Speaker,Chat,
0,"Good morning, sir. I am Gupta and I am calling from Vistara Tours and Travels.
   You have shown interest in our Sikkim tour package.",
1," Yes, I would like to know more about this package",

0,"Sir, good morning. I'm Jarvis from Vistara Tours and Travels, and I'm phoning to introduce myself.
You've expressed an interest in our Sikkim vacation package.",
1,"Yes, I am interested in learning more about this package.",

0,"Sir, we have 3 tour packages, and our most popular one is the Gangtok Tour. 
This is a 3 day, 2 night stay, with pick up and drop to the airport.",
1,"Okay, this seems very interesting. And what would be the itinerary on day 3?",

0,"Sir, we offer three tour packages, with the Gangtok Tour being the most popular.
This is a three-day, two-night stay that includes airport pick-up and drop-off.",
1,"Okay, this appears to be quite intriguing. And what would be the plan for the third day?",

0,"Day 1 includes a 4 hour journey from On day 2, the places that we cover include the Bakthang Waterfall, Tashi Viewpoint, Ganesh Tok,
  Enchey Monastery, Do Drulchorten Stupa, and the Banjhakri falls.
  This will be a part of your full day-local sightseeing.",
1," This sounds great! Is there any validity for this package? I intend to travel to Sikkim next month",

0,"The first day begins with a four-hour drive from The Bakthang Waterfall, Tashi Viewpoint, Ganesh Tok, Enchey Monastery,
 Do Drulchorten Stupa, and the Banjhakri Falls are among the locations we visit on day 2.
 This will be part of your full day of sightseeing in the area.",
1,"This sounds fantastic! Is there any way to check if this package is still valid? Next month, I plan to visit Sikkim.",

0,"Sir this package is valid until the end of this month, but if you make an advance payment, 
you can avail of the same prices the next month as well.",
1,"Okay what would be the advance amount?",

0,"Sir, this package is active till the end of this month, but if you pay in early, 
you will be able to take advantage of the same costs the following month.",
1,"So, how much would the advance be?",

0,"Sir, you can pay 15% of the package now and then pay the rest by next month. 
   If you pay now, we shall block your dates",
1,"Great, how shall I book the package? And what are the formalities to be done?",

0,"Sir, you may pay 15% of the package now and the balance at the end of the month. 
   We will reserve your dates if you pay immediately.",
1,"So, how do I go about booking the package? What are the formalities that must be completed?",

0,"Sir, I would need a copy of your identity proof. You can send me a photo of your Driving licence or PAN card.
 And as for the payment, you can login to our website and pay there. 
 We accept all major credit cards and debit cards.",
1,"Sound fine. But I will need to visit your office. 
   Can you send me your address?",

0,"Sir, I'd like a copy of your proof of identity. A photo of your driver's licence or PAN card can be sent to me.
 In terms of payment, you can log in to our website and make your payment there. 
 All major credit and debit cards are accepted",
1,"That's OK. However, I will need to come to your office.
 I'd appreciate it if you could send me your address",

0," Definitely sir, I will message you the location and address on your mobile.",
1,"Okay.
   Thank you, I will. Have a good day.",

0,"Would you like to ask something more !
   just call us and we will contact you",
1,"No, nothing else 
   Just if some urgent I will let you know",

0,"Would you like to ask a question?
Just give us a call and we'll get back to you.",
1,"There's nothing else.
Only if something crucial comes up, I'll let you know ",

0,"Certainly, sir; I'll send you a text message with the location and address.",
1,"Fine.
   Thank you, I'll do so. Have a wonderful day.",




